Data,Return,Return_Petr4,Return_BTC,Return_Shift
5/11/2017,0.279138827,4.172560113,3.809512004,1.617429615
5/12/2017,1.012763185,0.610997963,3.861612645,0.279138827
5/15/2017,0.369382311,4.251012146,3.122019419,1.012763185
5/16/2017,0.306685749,1.488673139,0.155281882,0.369382311
5/17/2017,-1.665598975,0.12755102,6.128589177,0.306685749
5/18/2017,-8.799230086,-0.573248408,4.268254903,-1.665598975
5/19/2017,1.691640827,-15.75912876,3.268379694,-8.799230086
5/22/2017,-1.542170213,3.574144487,2.83308028,1.691640827
5/23/2017,1.603619088,-1.615271659,-7.352920686,-1.542170213
5/24/2017,0.949538795,0.671641791,1.150496269,1.603619088
5/25/2017,-0.047425581,4.151223128,3.6865238,0.949538795
5/26/2017,1.357015199,-2.206405694,0.560564495,-0.047425581
5/29/2017,-0.505578529,-0.436681223,5.384245241,1.357015199
5/30/2017,0.315239723,0,4.258699599,-0.505578529
5/31/2017,-1.955848785,-2.339181287,7.229766715,0.315239723
6/1/2017,-0.672928194,-2.994011976,7.41087984,-1.955848785
6/2/2017,0.356403217,-1.080246914,7.240163444,-0.672928194
6/5/2017,-0.097582825,1.794071763,-5.780453717,0.356403217
6/6/2017,0.808646918,0.996168582,-0.193411881,-0.097582825
6/7/2017,0.343102216,0,-0.117499471,0.808646918
6/8/2017,-0.656947017,-2.352048558,-4.139437459,0.343102216
6/9/2017,-0.868442858,-0.233100233,5.517245165,-0.656947017
6/12/2017,-0.821398145,0.07788162,4.819281717,-0.868442858
6/13/2017,0.209076175,0.389105058,2.722768677,-0.821398145
6/14/2017,0.152032218,0.310077519,8.602142247,0.209076175
6/20/2017,-2.012448802,0.081433225,0,0.629604388
6/21/2017,-0.006582628,-3.498779496,-5.053188716,-2.012448802
6/22/2017,0.839340377,-1.854974705,1.897019155,-0.006582628
6/23/2017,-0.301932367,3.436426117,-9.999999114,0.839340377
6/26/2017,1.802347472,-0.913621262,-1.20481541,-0.301932367
6/27/2017,-0.824917991,2.849958089,3.233828578,1.802347472
6/28/2017,0.556141062,-0.488997555,4.415581228,-0.824917991
6/29/2017,0.356348157,-1.064701065,4.904633059,0.556141062
6/30/2017,1.062035058,0.82781457,-2.910051911,0.356348157
7/3/2017,0.604133545,1.559934319,1.340487998,1.062035058
7/4/2017,-0.07585335,-0.080840744,0.268804035,0.604133545
7/5/2017,-0.123355263,0.566343042,-9.927351018,-0.07585335
7/6/2017,-1.083066789,-1.769911504,5.357142153,-0.123355263
7/7/2017,-0.236913719,-0.327600328,0.255747454,-1.083066789
7/10/2017,1.12801258,-1.972062449,-1.012657578,-0.236913719
7/11/2017,1.280444268,0.419111484,-2.948401218,1.12801258
7/12/2017,1.572878807,2.921535893,3.826535352,1.280444268
7/13/2017,0.527484731,4.947283049,2.349865703,1.572878807
7/14/2017,0.395839087,-0.540958269,0,0.527484731
7/17/2017,-0.342319213,1.398601399,-0.519481129,0.395839087
7/18/2017,0.193215973,-1.22605364,-3.749999652,-0.342319213
7/19/2017,-0.241819462,0.387897595,-6.3231836,0.193215973
7/20/2017,-0.371279534,2.241112828,-1.157413928,-0.241819462
7/21/2017,-0.39114232,-0.982615268,2.369672012,-0.371279534
7/24/2017,0.643126585,-3.129770992,-1.170957303,-0.39114232
7/25/2017,0.87250384,1.497241923,-7.173912627,0.643126585
7/26/2017,-1.0004873,2.639751553,1.995564417,0.87250384
7/27/2017,0.409161527,-1.210287443,4.157039602,-1.0004873
7/28/2017,0.337025292,-0.45941807,-2.2573297,0.409161527
7/31/2017,0.645831107,1,24.78872598,0.337025292
